epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,2121.01,1.00344,0.61805,1.15793,0.89374,0.88537,0.93437,0.6394,1.31829,0.67271,1.51271,0.0015479,0.0015479,0.0015479
139,2136.29,1.01627,0.58668,1.15959,0.92281,0.93684,0.96561,0.66081,1.30243,0.60483,1.65787,0.0015446,0.0015446,0.0015446
140,2151.54,0.9953,0.57692,1.12885,0.89484,0.98529,0.96562,0.66548,1.19995,0.5833,1.44553,0.0015413,0.0015413,0.0015413
141,2166.91,1.02355,0.58712,1.15178,0.90187,0.87069,0.91867,0.61983,1.43013,0.71535,1.82439,0.001538,0.001538,0.001538
142,2182.28,1.02208,0.58372,1.15948,0.92767,0.94737,0.94233,0.64486,1.32182,0.57584,1.64086,0.0015347,0.0015347,0.0015347
143,2197.67,1.013,0.58697,1.13026,0.88299,0.93684,0.93759,0.62395,1.48448,0.72143,1.73562,0.0015314,0.0015314,0.0015314
144,2213.08,1.02884,0.59615,1.15629,0.87709,0.92632,0.94395,0.63278,1.15973,0.70019,1.45828,0.0015281,0.0015281,0.0015281
145,2228.33,1.03121,0.6047,1.1633,0.88754,0.83158,0.91672,0.60723,1.41999,0.75251,1.7171,0.0015248,0.0015248,0.0015248
146,2243.67,0.97561,0.56758,1.13732,0.90134,0.9617,0.94476,0.63658,1.3448,1.93736,1.65179,0.0015215,0.0015215,0.0015215
147,2258.98,0.95404,0.56751,1.14552,0.89992,0.91579,0.93391,0.6259,1.26631,0.65229,1.51401,0.0015182,0.0015182,0.0015182
148,2274.29,0.99791,0.62182,1.16202,0.88178,0.87368,0.9151,0.58684,1.35865,1.2502,1.59855,0.0015149,0.0015149,0.0015149
149,2289.55,1.00537,0.60564,1.15403,0.90844,0.83551,0.92323,0.61355,1.37051,0.65454,1.58232,0.0015116,0.0015116,0.0015116
150,2304.79,1.02464,0.59941,1.15701,0.79749,0.91579,0.91149,0.59242,1.43641,0.7154,1.71318,0.0015083,0.0015083,0.0015083
151,2320.08,1.00511,0.58539,1.17014,0.84625,0.89474,0.92773,0.62541,1.34791,0.80142,1.6668,0.001505,0.001505,0.001505
152,2335.37,0.99881,0.58224,1.14963,0.87802,0.94737,0.96174,0.66228,1.24983,0.61132,1.53913,0.0015017,0.0015017,0.0015017
153,2350.58,0.98724,0.57028,1.13293,0.90523,0.93684,0.96478,0.66859,1.18189,0.59138,1.43398,0.0014984,0.0014984,0.0014984
154,2365.89,1.00594,0.57627,1.15861,0.89177,0.95409,0.95666,0.64535,1.31344,0.6135,1.66003,0.0014951,0.0014951,0.0014951
155,2381.18,1.00246,0.57107,1.14118,0.90766,0.93127,0.96494,0.64375,1.27279,0.67576,1.47691,0.0014918,0.0014918,0.0014918
156,2396.49,0.94496,0.55311,1.11273,0.87034,0.90526,0.92892,0.62447,1.49628,0.66078,1.83832,0.0014885,0.0014885,0.0014885
157,2411.75,0.97337,0.55889,1.11935,0.84699,0.87401,0.9077,0.58905,1.5214,0.79819,1.87174,0.0014852,0.0014852,0.0014852
158,2427.12,0.97905,0.5565,1.123,0.88998,0.93661,0.93226,0.65182,1.31981,0.58846,1.6596,0.0014819,0.0014819,0.0014819
159,2442.46,0.96381,0.55796,1.11177,0.90801,0.93517,0.93096,0.64334,1.34995,0.5738,1.72114,0.0014786,0.0014786,0.0014786
160,2457.78,1.01244,0.55863,1.13614,0.88109,0.85796,0.92417,0.58997,1.48107,0.86427,1.87473,0.0014753,0.0014753,0.0014753
161,2473.11,0.98789,0.56628,1.12565,0.87548,0.96216,0.93781,0.6403,1.34481,0.61219,1.65312,0.001472,0.001472,0.001472
162,2488.43,0.93915,0.53501,1.10511,0.8168,0.82105,0.89407,0.55413,1.5281,0.78538,1.82677,0.0014687,0.0014687,0.0014687
163,2503.69,0.98791,0.58008,1.14413,0.90319,0.88385,0.94357,0.66272,1.28876,0.57617,1.57947,0.0014654,0.0014654,0.0014654
164,2518.97,0.94072,0.54739,1.11455,0.86155,0.93684,0.95143,0.66232,1.23241,0.58762,1.45722,0.0014621,0.0014621,0.0014621
165,2534.25,0.95669,0.56369,1.11238,0.86162,0.91761,0.94834,0.65437,1.28705,0.60597,1.67346,0.0014588,0.0014588,0.0014588
166,2549.47,0.96393,0.55202,1.13962,0.88724,0.93684,0.92426,0.65549,1.2591,0.59115,1.70146,0.0014555,0.0014555,0.0014555
167,2564.69,0.97128,0.56836,1.13978,0.92753,0.94305,0.95504,0.66271,1.2972,0.55364,1.66839,0.0014522,0.0014522,0.0014522
168,2579.93,0.98454,0.58018,1.13571,0.82852,0.93684,0.9195,0.62763,1.39708,0.66538,1.79322,0.0014489,0.0014489,0.0014489
169,2595.19,0.96882,0.56649,1.12074,0.86949,0.93684,0.93901,0.65555,1.17664,0.60587,1.46965,0.0014456,0.0014456,0.0014456
170,2610.4,0.95957,0.54041,1.09701,0.90724,0.92655,0.95263,0.66995,1.2567,0.63144,1.58234,0.0014423,0.0014423,0.0014423
171,2625.81,0.98762,0.57229,1.13916,0.87107,0.89474,0.91304,0.66256,1.04627,0.65383,1.36107,0.001439,0.001439,0.001439
172,2641.07,0.96222,0.55422,1.12655,0.9329,0.91579,0.94636,0.66706,1.11445,0.56883,1.3805,0.0014357,0.0014357,0.0014357
173,2656.4,0.95538,0.53771,1.12528,0.87744,0.92632,0.92136,0.61696,1.32293,0.80402,1.54414,0.0014324,0.0014324,0.0014324
174,2671.6,0.97608,0.56104,1.11485,0.85928,0.92632,0.94125,0.64651,1.33604,0.68357,1.6452,0.0014291,0.0014291,0.0014291
175,2686.86,0.98381,0.58641,1.14222,0.87168,0.94737,0.94544,0.66483,1.21205,0.60526,1.48886,0.0014258,0.0014258,0.0014258
176,2702.16,0.94837,0.5493,1.12134,0.90265,0.90526,0.92671,0.63821,1.24232,0.6199,1.51205,0.0014225,0.0014225,0.0014225
177,2717.42,0.96609,0.56936,1.13135,0.86316,0.94737,0.93208,0.6304,1.25725,0.70187,1.52663,0.0014192,0.0014192,0.0014192
178,2732.73,0.93528,0.53799,1.1051,0.88745,0.91301,0.94831,0.66849,1.20846,0.63995,1.47979,0.0014159,0.0014159,0.0014159
179,2747.97,0.95356,0.55239,1.13337,0.85969,0.91579,0.92382,0.64218,1.38324,0.66805,1.76686,0.0014126,0.0014126,0.0014126
180,2763.34,0.93541,0.55296,1.10541,0.87236,0.92632,0.93646,0.65879,1.15404,0.65114,1.43194,0.0014093,0.0014093,0.0014093
