epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,2245.85,1.03572,0.61905,1.02005,0.83044,0.92796,0.92336,0.62581,1.29846,0.61913,1.18634,0.0085744,0.0085744,0.0085744
146,2261.26,0.99758,0.60252,1.00863,0.86947,0.90526,0.92139,0.62986,1.35496,0.64698,1.33995,0.0085645,0.0085645,0.0085645
147,2276.6,0.9931,0.60428,1.01517,0.84206,0.92632,0.94762,0.6415,1.36531,0.67421,1.23825,0.0085546,0.0085546,0.0085546
148,2292,1.0161,0.65483,1.01262,0.89473,0.89474,0.92748,0.60067,1.34542,0.6883,1.16716,0.0085447,0.0085447,0.0085447
149,2307.35,1.01375,0.62616,1.01287,0.86509,0.85263,0.9335,0.64097,1.29817,0.63429,1.14127,0.0085348,0.0085348,0.0085348
150,2322.67,1.03041,0.62837,1.0211,0.8719,0.94737,0.9265,0.63767,1.17478,0.62889,1.08935,0.0085249,0.0085249,0.0085249
151,2338.01,1.04224,0.62229,1.03501,0.89347,0.91579,0.95027,0.66029,1.13407,0.60721,1.0638,0.008515,0.008515,0.008515
152,2353.42,1.01085,0.6279,1.02851,0.86239,0.92632,0.92269,0.62139,1.14995,0.63977,1.08116,0.0085051,0.0085051,0.0085051
153,2368.85,1.02379,0.61233,1.01449,0.84732,0.93684,0.93458,0.65668,1.19502,0.63428,1.089,0.0084952,0.0084952,0.0084952
154,2384.3,1.01567,0.60693,1.00275,0.83824,0.93684,0.92907,0.63688,1.23946,0.65142,1.11566,0.0084853,0.0084853,0.0084853
155,2399.64,0.97694,0.59209,0.99686,0.85949,0.96842,0.96451,0.68596,1.15919,0.61005,1.06537,0.0084754,0.0084754,0.0084754
156,2415,0.97194,0.58741,0.98343,0.8954,0.94737,0.93983,0.65961,1.13255,0.58666,1.09309,0.0084655,0.0084655,0.0084655
157,2430.37,0.97355,0.57883,1.0008,0.8787,0.915,0.92979,0.64333,1.1892,0.72853,1.10388,0.0084556,0.0084556,0.0084556
158,2445.68,0.98578,0.58935,0.99693,0.90483,0.96842,0.9699,0.66436,1.16821,0.58034,1.08241,0.0084457,0.0084457,0.0084457
159,2461.02,0.97038,0.58525,0.9924,0.91196,0.96842,0.97046,0.67093,1.08839,0.56284,1.05359,0.0084358,0.0084358,0.0084358
160,2476.39,1.03021,0.5951,1.00833,0.87366,0.86316,0.94254,0.63103,1.14759,0.67101,1.101,0.0084259,0.0084259,0.0084259
161,2491.73,0.98259,0.57734,0.99714,0.90541,0.91579,0.94388,0.62634,1.2076,0.61856,1.11871,0.008416,0.008416,0.008416
162,2507.07,0.95842,0.5833,0.98714,0.91894,0.83531,0.9396,0.65378,1.04771,0.58432,1.02424,0.0084061,0.0084061,0.0084061
163,2522.44,0.97054,0.58426,0.99768,0.85393,0.94737,0.94095,0.65627,1.16395,0.59423,1.07345,0.0083962,0.0083962,0.0083962
164,2537.75,0.96598,0.58951,0.99856,0.86059,0.90974,0.94279,0.65902,1.1103,0.61443,1.06334,0.0083863,0.0083863,0.0083863
